"-- Please Select --","-- Faites un choix --",-
"`rue1` is undefined","`rue1` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Adresse.php
"`ville` is undefined","`ville` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Adresse.php

"`devise` is undefined","`devise` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande.php
"`merchantreference` is undefined","`merchantreference` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande.php
"`montant` is undefined","`montant` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande.php
"`refid` is undefined","`refid` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande.php

"Product `ref` is undefined","La `ref` du produit n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande/List/Product.php
"Product `type` is undefined","Le `type` du produit n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande/List/Product.php
"Product name is undefined","Le nom du produit n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande/List/Product.php

"Downloadable product and/or virtual product","Produit téléchargeable et/ou produit virtuel",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande/Transport.php
"`nom` is undefined","`nom` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande/Transport.php
"`rapidite` is undefined","`rapidite` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande/Transport.php
"`type` is undefined","`type` n'est pas défini",app/code/community/Fianet/Payment3xcb/Model/Fianet/Xml/Control/Infocommande/Transport.php

"3xCB: Cancel","3xCB : annuler",app/code/community/Fianet/Payment3xcb/Model/Observer.php
"3xCB: Partially Validate","3xCB : valider partiellement",app/code/community/Fianet/Payment3xcb/Model/Observer.php
"3xCB: Validate","3xCB : valider",app/code/community/Fianet/Payment3xcb/Model/Observer.php
"Are you sure you want to cancel the 3xCB transaction?","Êtes-vous sûr(e) de vouloir annuler la transaction 3xCB ?",app/code/community/Fianet/Payment3xcb/Model/Observer.php
"Are you sure you want to partially validate the 3xCB transaction?","Êtes-vous sûr(e) de vouloir valider partiellement la transaction 3xCB ?",app/code/community/Fianet/Payment3xcb/Model/Observer.php
"Are you sure you want to validate the 3xCB transaction?","Êtes-vous sûr(e) de vouloir valider la transaction 3xCB ?",app/code/community/Fianet/Payment3xcb/Model/Observer.php
"FIA-NET 3xCB: Get Transactions' State","FIA-NET 3xCB : Récupérer l'état des transactions",app/code/community/Fianet/Payment3xcb/Model/Observer.php

"3xCB availability: %s","Éligibilité 3xCB : %s",app/code/community/Fianet/Payment3xcb/Model/Payment/Method/Fianet3xcb.php
"Unknown 3xCB availability code: `%s`","Code d'éligibilité 3xCB inconnu : `%s`",app/code/community/Fianet/Payment3xcb/Model/Payment/Method/Fianet3xcb.php

Production,Production,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/Mode.php
Test,Test,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/Mode.php

"Alimentation & gastronomie","Alimentation & gastronomie",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Articles et accessoires pour bébé","Articles et accessoires pour bébé",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Auto & moto","Auto & moto",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Bijoux et métaux précieux","Bijoux et métaux précieux",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Culture & divertissements","Culture & divertissements",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
Electroménager,Electroménager,app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Enchères et achats groupés","Enchères et achats groupés",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Fleurs & cadeaux","Fleurs & cadeaux",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Hifi, photo & vidéos","Hifi, photo & vidéos",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Informatique & logiciels","Informatique & logiciels",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Maison & jardin","Maison & jardin",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Santé & beauté","Santé & beauté",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Services aux particuliers","Services aux particuliers",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
"Services aux professionnels","Services aux professionnels",app/code/community/Fianet/Payment3xcb/Model/Source/Fianet/ProductType.php
